itemcode,itemname,Sequence,Wt,source_fct,fdc_id,food_desc,Edible_factor_in_FCT,ENERCkJ,ENERCkcal,WATERg,ASHg,PROCNTg,FAT_g_standardised,FIBTGg,ALCg,CHOAVLg,CHOAVLDFg,FEmg,ZNmg,VITA_RAEmcg,THIAmg,RIBFmg,NIAmg,FOLmcg_standardised,VITB6_mg_standardised,VITB12mcg,RETOLmcg,CARTBmcg,CARTAmcg,CRYPXBmcg,CARTBEQmcg
6013,"CARROTS AND GREEN PEPPER, OTHER VIUNGO",SUMMARY,1,NA,NA,NA,0.72281485955904567,119.04379341588646,28.44337058290547,90.699184536393844,1.3322863183328297,0.6481123527635156,0.1431289640591967,2.1430987617034138,NA,NA,5.0214134702506801,0.8507399577167017,0.184294774992449,248.90033222591384,0.0348112352763516,0.031328903654485055,0.33964361220175177,15.0733917245545,0.28599999999999998,0,0,NA,NA,NA,2985.8441558441582
6021,CABBAGE,SUMMARY,1,NA,NA,NA,0.84666666666666668,75.333333333333329,18,93.966666666666654,0.66666666666666663,1.1,0.2,2.2333333333333334,NA,NA,1.9,0.8666666666666666,0.166666666666667,5.666666666666666,0.0533333333333333,0.07,0.43333333333333335,80.6666666666667,0.14533361332948891,0,0,NA,NA,NA,66.666666666666657
6022,CHINESS/SPINACH,SUMMARY,11,NA,NA,NA,0.74,112,27,89.8,1.8,2.8,0.4,4.0999999999999996,NA,NA,1.1000000000000001,1.7,1,189,0.03,0.18,0.4,110,0.24285714285714299,0,0,NA,NA,NA,2261
6023,OTHER GREEN VEGETABLE,SUMMARY,1,NA,NA,NA,0.66167326963411777,195.21960692923176,46.65478132525442,84.557593412568949,2.4876951759496624,4.7907480773712425,0.7258059504389033,4.4035345296356718,0,NA,2.9793132913850711,5.001724539734326,0.855382583702323,175.21370309951064,0.135951992542531,0.2346873300706906,1.5036059970480855,143.356257282685,0.29735106652811233,0,0,NA,NA,NA,2078.7359589839207
7021,LEMON/LIME,SUMMARY,1,NA,NA,NA,0.67942329873125717,166.1683967704729,39.42791234140715,88.334602076124568,0.44567474048442901,0.7617301038062283,0.2,3.276931949250288,NA,NA,7.0399077277970008,0.154325259515571,0.1,1.97116493656286,0.0251441753171857,0.0248558246828143,0.2,9.54325259515571,4.2857142857142899E-2,0,0,NA,NA,NA,20.197231833910031
7022,ORANGE/TANGERINE,SUMMARY,1,NA,NA,NA,0.75,177.60537190082644,42.38223140495868,87.546487603305792,0.68853305785123953,0.898853305785124,0.2,3.0388429752066113,NA,NA,7.6261363636363644,0.19235537190082644,0.0519111570247934,4.847107438016528,0.0415289256198347,0.030764462809917358,0.20382231404958678,50.9297520661157,5.1666666666666701E-2,0,0,NA,NA,NA,55.203512396694215
7023,OTHER CITRUS FRUITS,SUMMARY,1,NA,NA,NA,0.88173913043478269,274.86956521739131,65.91304347826087,82.147826086956513,0.5304347826086957,1.7260869565217392,0.7608695652173914,5.8608695652173912,0,NA,6.2,0.8130434782608695,0.154347826086957,13.173913043478262,0.04,0.08217391304347826,0.3991304347826087,16.3478260869565,3.5217391304347825E-2,0,0,1.5652173913043468,135.82608695652175,168.21739130434784,153.6521739130435
7031,MANGOES,SUMMARY,1,NA,NA,NA,0.72,232,54.5,84.85,0.55000000000000004,0.7,0.2,2.2999999999999998,NA,NA,11.45,0.30000000000000004,0.115,49.5,0.025,0.035,0.43,40,NA,0,0,NA,NA,NA,591.5
7032,AVOCADO,SUMMARY,1,NA,NA,NA,0.71,761,185,74,1.9,1.6,19.6,4,NA,NA,0,1,0.39,2,0.07,0.15,1.8,67,0.239330543933054,0,0,NA,NA,NA,27
7033,OTHER FRUITS,SUMMARY,1,NA,NA,NA,0.7002666666666667,259.47018181818186,61.611636363636364,82.366872727272721,0.7121333333333334,1.0013212121212123,0.37803636363636367,4.0829818181818194,0,NA,11.541927272727275,0.7026909090909094,0.277968484848485,15.25709090909091,0.0451684848484849,0.06603151515151516,0.44713939393939406,25.7688484848485,7.2013141823149177E-2,0,0,NA,NA,NA,180.90957575757577
8041,CHICKEN,SUMMARY,1,NA,NA,NA,0.65,864,207,63.6,0.9,18.7,13,0,NA,NA,3.8,2.5,0.89,75,0.14,0.12,6.4,11,0.26764705882352902,0.63,75,NA,NA,NA,0
8042,OTHER POULTRY,SUMMARY,1,NA,NA,NA,1,760.5,182.5,68.7,1,19.15,12.2,0,NA,NA,0.05,2.05,1.515,20.5,0.185,0.315,3.5549999999999997,2,0.30099799660964699,0.435,20.5,NA,NA,NA,0
8081,DAGAA (FRESH),SUMMARY,1,NA,NA,NA,1,1400,333,11.2,10,59.5,10.6,0,NA,NA,0,6.9,16,141,0.34,0.52,18.2,46,NA,60,141,NA,NA,NA,0
8082,KOLEKOLE (FRESH),SUMMARY,1,NA,NA,NA,0.59605697209609199,449.53868643355202,106.973984812616,75.220700249673399,1.61812343954153,19.206659292894,3.3098632617948,0,NA,NA,NA,1.2270627805591099,0.944461132456242,12.3103323372272,0.0674068899496773,0.0826002509669992,4.21364096195392,13.586965239777,NA,2.9170039197423101,11.992522735799,NA,NA,NA,4.6691504637714898
8083,TILAPIA (FRESH),SUMMARY,1,NA,NA,NA,0.57999999999999996,372,88,77.599999999999994,1.9,18.6,1.5,0,0,NA,0,1.7,0.91,10,0.02,0.09,3.2,5,0.18,1.5,10,0,0,0,0
8084,OTHER FRESH FISH AND SEAFOOD,SUMMARY,1,NA,NA,NA,0.59732144352340277,455.64478495073809,108.4681682436015,75.033332635574538,1.5959259259259253,19.2544331407519,3.4523882888163193,0,0,NA,2.1811530213195391E-2,1.1898194200228862,0.947174914175668,12.492268832509975,0.0711401378771387,0.08201752770102431,4.293464232883977,14.2631806637082,0.39074518326993285,3.0285916436406271,12.149432024337825,0,0,0,5.0368416645733918
11011,BUNS,SUMMARY,1,NA,NA,NA,1,1430,340.5,25,2.25,7.25,10.9,2.5,NA,NA,52.099999999999994,2,0.65,47.5,0.145,0.065,1.3,15.5,6.3689793267151906E-2,0.2,43.5,NA,NA,NA,45.5
11021,CAKES AND BISCUITS,SUMMARY,1,NA,NA,NA,0.99999999999999989,1883.6701883325679,429.3342177136169,10.143316490583372,1.6906293063849334,6.749746390948108,18.870230198985563,2.4862655029857605,NA,NA,58.373909049150207,1.3311353882169332,0.653172063987515,35.3593445181428,0.113464689816621,0.09347639484978541,0.8690596956691379,15.7945766679672,5.9886416010121402E-2,0.18999219664455716,39.459807073954977,NA,NA,NA,28.142168121267797
