hhid,adm1,adm2,res,sep_quintile,res_quintile,age_head,sex_head,educ_head,year,month,survey_wgt,ea,hhsize,headwork,educ_head2
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,14,2
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,14,2
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,14,2
8885-001-01,4,42,Rural,3,3,56,Male,18,2021,6,8249.4633680243,NA,7,17,2
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,1,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,14,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,1,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,1,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,1,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,14,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,14,3
8886-001-01,4,42,Rural,1,1,32,Female,24,2021,6,5879.23772132514,NA,8,14,3
8887-001-01,4,42,Rural,5,5,45,Male,17,2021,6,8333.49898389575,NA,5,10,1
8887-001-01,4,42,Rural,5,5,45,Male,17,2021,6,8333.49898389575,NA,5,10,1
8887-001-01,4,42,Rural,5,5,45,Male,17,2021,6,8333.49898389575,NA,5,14,1
8887-001-01,4,42,Rural,5,5,45,Male,17,2021,6,8333.49898389575,NA,5,14,1
8887-001-01,4,42,Rural,5,5,45,Male,17,2021,6,8333.49898389575,NA,5,14,1
8888-001-01,4,42,Rural,3,3,60,Male,18,2021,6,6239.49264900813,NA,2,7,2
8888-001-01,4,42,Rural,3,3,60,Male,18,2021,6,6239.49264900813,NA,2,14,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,1,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,1,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,NA,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,NA,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,14,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,14,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,14,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,14,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,17,2
8889-001-01,4,42,Rural,2,3,51,Male,18,2021,6,8963.53355,NA,8,17,2
8891-001-01,4,42,Rural,2,3,68,Male,18,2021,6,2383.81045167422,NA,5,1,2
8891-001-01,4,42,Rural,2,3,68,Male,18,2021,6,2383.81045167422,NA,5,1,2
8891-001-01,4,42,Rural,2,3,68,Male,18,2021,6,2383.81045167422,NA,5,1,2
8891-001-01,4,42,Rural,2,3,68,Male,18,2021,6,2383.81045167422,NA,5,14,2
8891-001-01,4,42,Rural,2,3,68,Male,18,2021,6,2383.81045167422,NA,5,14,2
8891-001-04,7,72,Urban,4,3,35,Male,18,2022,1,1738.47447610643,NA,5,7,2
8891-001-04,7,72,Urban,4,3,35,Male,18,2022,1,1738.47447610643,NA,5,10,2
8891-001-04,7,72,Urban,4,3,35,Male,18,2022,1,1738.47447610643,NA,5,14,2
8891-001-04,7,72,Urban,4,3,35,Male,18,2022,1,1738.47447610643,NA,5,14,2
8891-001-04,7,72,Urban,4,3,35,Male,18,2022,1,1738.47447610643,NA,5,10,2
8892-001-03,4,42,Rural,3,4,66,Female,15,2021,6,2513.55684970166,NA,4,1,1
8892-001-03,4,42,Rural,3,4,66,Female,15,2021,6,2513.55684970166,NA,4,1,1
8892-001-03,4,42,Rural,3,4,66,Female,15,2021,6,2513.55684970166,NA,4,14,1
8892-001-03,4,42,Rural,3,4,66,Female,15,2021,6,2513.55684970166,NA,4,1,1
8904-001-01,4,43,Rural,2,3,39,Male,18,2021,6,5322.60537886514,NA,6,1,2
8904-001-01,4,43,Rural,2,3,39,Male,18,2021,6,5322.60537886514,NA,6,1,2
8904-001-01,4,43,Rural,2,3,39,Male,18,2021,6,5322.60537886514,NA,6,14,2
8904-001-01,4,43,Rural,2,3,39,Male,18,2021,6,5322.60537886514,NA,6,14,2
8904-001-01,4,43,Rural,2,3,39,Male,18,2021,6,5322.60537886514,NA,6,14,2
8904-001-01,4,43,Rural,2,3,39,Male,18,2021,6,5322.60537886514,NA,6,17,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,1,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,1,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,14,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,14,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,14,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,14,2
8905-001-01,4,43,Rural,3,4,44,Male,18,2021,6,5123.84267455605,NA,7,17,2
8905-001-03,51,512,Rural,5,5,23,Male,23,2022,1,5208.76081521592,NA,1,7,3
8906-001-01,4,43,Rural,3,4,29,Male,18,2021,6,5973.68227188134,NA,3,1,2
8906-001-01,4,43,Rural,3,4,29,Male,18,2021,6,5973.68227188134,NA,3,14,2
8906-001-01,4,43,Rural,3,4,29,Male,18,2021,6,5973.68227188134,NA,3,17,2
8907-001-01,4,43,Rural,4,5,32,Male,18,2021,6,7294.93463836406,NA,5,1,2
8907-001-01,4,43,Rural,4,5,32,Male,18,2021,6,7294.93463836406,NA,5,1,2
8907-001-01,4,43,Rural,4,5,32,Male,18,2021,6,7294.93463836406,NA,5,14,2
8907-001-01,4,43,Rural,4,5,32,Male,18,2021,6,7294.93463836406,NA,5,14,2
8907-001-01,4,43,Rural,4,5,32,Male,18,2021,6,7294.93463836406,NA,5,17,2
8908-001-01,4,43,Rural,2,3,46,Male,16,2021,6,4841.01877295925,NA,1,1,1
8909-001-02,4,43,Rural,2,3,51,Female,17,2021,6,3316.26646809665,NA,5,1,1
8909-001-02,4,43,Rural,2,3,51,Female,17,2021,6,3316.26646809665,NA,5,1,1
8909-001-02,4,43,Rural,2,3,51,Female,17,2021,6,3316.26646809665,NA,5,14,1
8909-001-02,4,43,Rural,2,3,51,Female,17,2021,6,3316.26646809665,NA,5,14,1
8909-001-02,4,43,Rural,2,3,51,Female,17,2021,6,3316.26646809665,NA,5,1,1
8910-001-01,4,48,Rural,2,3,68,Male,14,2021,6,2117.59556974303,NA,1,1,1
8910-001-02,4,43,Rural,2,2,67,Female,NA,2021,6,3563.88211980407,NA,6,1,3
8910-001-02,4,43,Rural,2,2,67,Female,NA,2021,6,3563.88211980407,NA,6,16,3
8910-001-02,4,43,Rural,2,2,67,Female,NA,2021,6,3563.88211980407,NA,6,17,3
8910-001-02,4,43,Rural,2,2,67,Female,NA,2021,6,3563.88211980407,NA,6,14,3
8910-001-02,4,43,Rural,2,2,67,Female,NA,2021,6,3563.88211980407,NA,6,14,3
