hhid,energy_kcal,vita_rae_mcg,thia_mg,ribo_mg,niac_mg,vitb6_mg,folate_mcg,vitb12_mcg,fe_mg,zn_mg
1179-001-01,3775.663764729329,498.4124751709128,2.027672271324353,1.8659574874660665,19.76744964645916,2.5511365720706745,662.1804697007938,7.768416407101566,40.04970317096189,17.893364977756896
1179-001-02,3549.04224097264,644.5570723161785,1.2001492769377737,2.080596218456171,20.451979699711874,1.4667585680085757,246.42779663789236,5.536783008838086,22.138667999588638,15.808016284314698
1191-001-01,667.7908239556734,41.92619978809199,0.2935380246681675,0.20673975925891158,3.699907758772783,0.3171161888311462,70.53765032647398,4.315553937824587,4.861925594479346,2.7293420580426435
1192-001-01,1497.3253685959487,260.38247070575886,0.9536285455822084,0.7148495114444283,11.893636032469741,0.8293526704667418,311.98329885361096,9.522042164482745,13.11821907293895,9.056923824590122
1193-001-01,1021.2369641721469,156.91502135059093,0.8587379742579581,0.4973305233980392,6.420116872154057,0.8954098088360539,288.3360101365171,0,10.664501782974432,4.868744872137664
1194-001-01,1777.2187054417018,82.18480071118898,1.385314921752775,0.6071214919435373,9.822702118899114,1.4450066708909757,396.43683239039626,2.707512129109969,14.050940415386792,7.966971474508867
1194-001-04,1287.0022882653493,80.00483063127115,0.3343153127677474,0.35026645411929835,4.565909450864481,0.2742426123745172,80.17716378404845,2.6041227614823192,4.857498947937989,4.09782380747356
1195-001-01,2677.2132159571147,472.8997385843798,1.2830578446126686,1.1146179150826092,15.076267045565565,1.6848123241033244,389.8900717386891,1.8520188004049267,20.738865695549524,11.824252653455552
1196-001-04,462.6992059568172,12.970135018429895,0.26325134294232566,0.07598333357144708,3.2769448595432085,0,17.308554902695594,0.03975300865325221,2.613586550562523,1.3668194759460033
1198-001-01,1817.0989534478676,51.31150674546306,1.2929696994816777,0.5603468407603546,8.42029688126925,1.2534010234777586,343.4833095037533,0.7864006546604998,12.892973126634548,7.258237915004516
